time  qps   sumio   l0   l1    l2    l3    l4    l5  l6  l7  l8  l9 
0   0  1    0  1  0  0  0  0  0  0  0  0  
1   1  12456    6926  1733  1649  2148  0  0  0  0  0  0  
2   2244  11374    5277  2100  2036  1961  0  0  0  0  0  0  
3   2292  9873    4132  1856  1950  1935  0  0  0  0  0  0  
4   2223  8740    3528  1630  1784  1798  0  0  0  0  0  0  
5   2324  7926    3059  1443  1679  1745  0  0  0  0  0  0  
6   2304  7415    2688  1362  1619  1746  0  0  0  0  0  0  
7   2290  7343    2632  1324  1623  1764  0  0  0  0  0  0  
8   2351  6982    2352  1247  1608  1775  0  0  0  0  0  0  
9   2341  6244    2056  1113  1468  1607  0  0  0  0  0  0  
10   2178  5871    1747  1023  1443  1658  0  0  0  0  0  0  
12   2201  5313    1486  937  1305  1585  0  0  0  0  0  0  
13   2112  5562    1592  954  1388  1628  0  0  0  0  0  0  
14   2195  5423    1554  961  1335  1573  0  0  0  0  0  0  
15   2157  5364    1488  946  1335  1595  0  0  0  0  0  0  
16   2207  4972    1251  860  1276  1585  0  0  0  0  0  0  
17   2194  4811    1207  809  1241  1554  0  0  0  0  0  0  
18   2199  4810    1168  821  1257  1564  0  0  0  0  0  0  
19   2211  4599    1088  780  1197  1534  0  0  0  0  0  0  
20   2303  4700    1029  810  1248  1613  0  0  0  0  0  0  
21   2000  4586    1075  768  1184  1559  0  0  0  0  0  0  
23   2122  4600    962  775  1219  1644  0  0  0  0  0  0  
24   2182  4860    1145  815  1249  1651  0  0  0  0  0  0  
25   2071  4606    1026  806  1176  1598  0  0  0  0  0  0  
26   2128  4932    1098  850  1295  1689  0  0  0  0  0  0  
27   2167  4824    1058  838  1251  1677  0  0  0  0  0  0  
28   2185  4859    1026  831  1298  1704  0  0  0  0  0  0  
29   2289  4723    1000  810  1272  1641  0  0  0  0  0  0  
30   2159  5195    1101  919  1373  1802  0  0  0  0  0  0  
31   2395  5120    1160  865  1339  1756  0  0  0  0  0  0  
33   2324  5243    1099  912  1405  1827  0  0  0  0  0  0  
34   2617  4950    1082  843  1326  1699  0  0  0  0  0  0  
35   2481  5412    1225  919  1396  1872  0  0  0  0  0  0  
36   2653  5672    1312  970  1475  1915  0  0  0  0  0  0  
37   2751  5677    1300  955  1483  1939  0  0  0  0  0  0  
38   2780  5666    1251  949  1478  1988  0  0  0  0  0  0  
39   2848  5872    1292  1013  1548  2019  0  0  0  0  0  0  
40   3055  6301    1360  1093  1689  2159  0  0  0  0  0  0  
41   2621  5653    1225  965  1481  1982  0  0  0  0  0  0  
42   2731  6038    1315  1026  1582  2115  0  0  0  0  0  0  
44   2734  5891    1192  973  1609  2117  0  0  0  0  0  0  
45   2848  6516    1500  1088  1697  2231  0  0  0  0  0  0  
46   2993  6678    1473  1150  1769  2286  0  0  0  0  0  0  
47   2912  6625    1473  1157  1735  2260  0  0  0  0  0  0  
48   3002  6717    1481  1098  1810  2328  0  0  0  0  0  0  
49   3095  6983    1590  1195  1826  2372  0  0  0  0  0  0  
50   3184  7178    1591  1261  1875  2451  0  0  0  0  0  0  
51   3263  7403    1640  1269  1950  2544  0  0  0  0  0  0  
52   3299  7587    1696  1280  1994  2617  0  0  0  0  0  0  
53   3704  7574    1694  1260  1971  2649  0  0  0  0  0  0  
55   3730  8018    1780  1367  2112  2759  0  0  0  0  0  0  
56   3959  7947    1760  1327  2110  2750  0  0  0  0  0  0  
57   3989  8225    1821  1410  2154  2840  0  0  0  0  0  0  
58   4104  8296    1855  1398  2133  2910  0  0  0  0  0  0  
59   4254  8601    1947  1436  2254  2964  0  0  0  0  0  0  
60   4024  9173    2091  1574  2388  3120  0  0  0  0  0  0  
61   4089  9139    2042  1579  2404  3114  0  0  0  0  0  0  
62   4151  9151    1992  1577  2440  3142  0  0  0  0  0  0  
63   4087  8988    1906  1560  2362  3160  0  0  0  0  0  0  
64   4146  9634    2227  1640  2498  3269  0  0  0  0  0  0  
66   4282  9825    2218  1728  2570  3309  0  0  0  0  0  0  
67   4312  9539    2008  1640  2552  3339  0  0  0  0  0  0  
68   4426  9948    2185  1710  2613  3440  0  0  0  0  0  0  
69   4511  10005    2238  1729  2568  3470  0  0  0  0  0  0  
70   4596  10059    2167  1728  2649  3515  0  0  0  0  0  0  
71   4569  10266    2246  1753  2706  3561  0  0  0  0  0  0  
72   5074  10487    2304  1782  2769  3632  0  0  0  0  0  0  
73   5285  10739    2309  1871  2833  3726  0  0  0  0  0  0  
74   5454  10895    2355  1878  2878  3784  0  0  0  0  0  0  
75   5058  11228    2510  1914  2936  3868  0  0  0  0  0  0  
77   4985  11106    2526  1936  2886  3758  0  0  0  0  0  0  
78   4985  11202    2420  1941  2952  3889  0  0  0  0  0  0  
79   5116  11212    2509  1901  2949  3853  0  0  0  0  0  0  
80   5240  11624    2521  2026  3020  4057  0  0  0  0  0  0  
81   5256  11354    2488  1919  2981  3966  0  0  0  0  0  0  
82   5250  12272    2793  2091  3196  4192  0  0  0  0  0  0  
83   5419  12465    2886  2158  3207  4214  0  0  0  0  0  0  
84   5466  12116    2535  2089  3230  4262  0  0  0  0  0  0  
85   5557  12332    2795  2126  3245  4166  0  0  0  0  0  0  
86   6093  12419    2689  2182  3252  4296  0  0  0  0  0  0  
88   5538  12242    2687  2124  3204  4227  0  0  0  0  0  0  
89   5625  12267    2612  2108  3200  4347  0  0  0  0  0  0  
90   5614  12966    2985  2207  3367  4407  0  0  0  0  0  0  
91   5737  12668    2788  2166  3351  4363  0  0  0  0  0  0  
92   5651  12639    2777  2152  3293  4417  0  0  0  0  0  0  
93   5792  13060    2873  2251  3422  4514  0  0  0  0  0  0  
94   5872  12901    2895  2216  3360  4430  0  0  0  0  0  0  
95   5820  13280    3012  2229  3473  4566  0  0  0  0  0  0  
96   5951  12827    2805  2172  3374  4476  0  0  0  0  0  0  
98   5769  13057    2966  2248  3355  4488  0  0  0  0  0  0  
99   6446  12714    2758  2162  3362  4432  0  0  0  0  0  0  
100   5936  13291    3033  2276  3431  4551  0  0  0  0  0  0  
101   5955  13411    2997  2336  3504  4574  0  0  0  0  0  0  
102   5908  13098    2904  2251  3418  4525  0  0  0  0  0  0  
103   6053  13486    3051  2308  3505  4622  0  0  0  0  0  0  
104   5995  13260    2962  2261  3484  4553  0  0  0  0  0  0  
105   5995  13034    2873  2173  3402  4586  0  0  0  0  0  0  
106   6004  13184    2735  2268  3535  4646  0  0  0  0  0  0  
107   5997  12731    2644  2202  3391  4494  0  0  0  0  0  0  
109   5939  13248    2958  2288  3449  4553  0  0  0  0  0  0  
110   5827  13294    2926  2289  3459  4620  0  0  0  0  0  0  
111   6181  13403    3091  2281  3443  4588  0  0  0  0  0  0  
112   6563  13024    2855  2215  3367  4587  0  0  0  0  0  0  
113   6532  13091    2866  2229  3413  4583  0  0  0  0  0  0  
114   6569  12846    2788  2183  3394  4481  0  0  0  0  0  0  
115   6453  12914    2854  2153  3374  4533  0  0  0  0  0  0  
116   5824  12675    2715  2169  3342  4449  0  0  0  0  0  0  
117   5927  12853    2920  2196  3286  4451  0  0  0  0  0  0  
119   5759  13035    3023  2205  3320  4487  0  0  0  0  0  0  
120   5726  12874    2940  2194  3348  4392  0  0  0  0  0  0  
121   5709  12587    2869  2184  3239  4295  0  0  0  0  0  0  
122   5732  12877    2983  2161  3334  4399  0  0  0  0  0  0  
123   5650  12529    2763  2173  3286  4307  0  0  0  0  0  0  
124   5605  12143    2605  2074  3229  4235  0  0  0  0  0  0  
125   5552  12350    2809  2131  3183  4227  0  0  0  0  0  0  
126   5518  12149    2742  2092  3204  4111  0  0  0  0  0  0  
127   5426  11939    2508  2041  3169  4221  0  0  0  0  0  0  
128   6058  11731    2536  2005  3110  4080  0  0  0  0  0  0  
130   5896  12377    2890  2086  3189  4212  0  0  0  0  0  0  
131   5944  11678    2534  2050  3079  4015  0  0  0  0  0  0  
132   5752  11574    2569  1975  3058  3972  0  0  0  0  0  0  
133   5718  11267    2518  1910  2907  3932  0  0  0  0  0  0  
134   5649  11487    2554  1966  3028  3939  0  0  0  0  0  0  
135   5659  11336    2601  1909  2887  3939  0  0  0  0  0  0  
136   5554  10807    2398  1816  2829  3764  0  0  0  0  0  0  
137   5294  10856    2369  1866  2817  3804  0  0  0  0  0  0  
138   5260  10865    2388  1890  2881  3706  0  0  0  0  0  0  
139   4731  10424    2223  1800  2770  3631  0  0  0  0  0  0  
141   4604  10494    2356  1798  2764  3576  0  0  0  0  0  0  
142   4668  10049    2161  1712  2655  3521  0  0  0  0  0  0  
143   4579  10198    2259  1699  2679  3561  0  0  0  0  0  0  
144   4532  9830    2149  1708  2605  3368  0  0  0  0  0  0  
145   4493  9840    2155  1680  2573  3432  0  0  0  0  0  0  
146   4389  9702    2191  1666  2517  3328  0  0  0  0  0  0  
147   4383  9447    2095  1601  2495  3256  0  0  0  0  0  0  
148   4265  9240    2056  1575  2391  3218  0  0  0  0  0  0  
149   4215  9024    2042  1541  2298  3143  0  0  0  0  0  0  
151   4039  9187    2101  1561  2395  3130  0  0  0  0  0  0  
152   4463  8777    1962  1523  2286  3006  0  0  0  0  0  0  
153   4290  8452    1813  1458  2270  2911  0  0  0  0  0  0  
154   4200  8426    1821  1455  2211  2939  0  0  0  0  0  0  
155   4162  8554    1960  1470  2207  2917  0  0  0  0  0  0  
156   4121  7939    1750  1370  2076  2743  0  0  0  0  0  0  
157   3896  7708    1695  1330  2013  2670  0  0  0  0  0  0  
158   3852  7985    1921  1325  2071  2668  0  0  0  0  0  0  
159   3857  7499    1589  1322  1968  2620  0  0  0  0  0  0  
160   3775  7527    1656  1294  1977  2600  0  0  0  0  0  0  
162   3697  7214    1656  1247  1868  2443  0  0  0  0  0  0  
163   3531  7027    1588  1195  1836  2408  0  0  0  0  0  0  
164   3556  7232    1639  1232  1858  2503  0  0  0  0  0  0  
165   2953  6599    1528  1120  1734  2217  0  0  0  0  0  0  
166   2974  6569    1379  1147  1762  2281  0  0  0  0  0  0  
167   2940  6381    1335  1081  1706  2259  0  0  0  0  0  0  
168   2771  6123    1348  1075  1571  2129  0  0  0  0  0  0  
169   2799  6111    1312  1082  1604  2113  0  0  0  0  0  0  
170   2752  6108    1403  1013  1592  2100  0  0  0  0  0  0  
171   2659  5702    1175  978  1536  2013  0  0  0  0  0  0  
173   2620  5895    1285  998  1544  2068  0  0  0  0  0  0  
174   2702  5665    1275  970  1472  1948  0  0  0  0  0  0  
175   2504  5647    1302  957  1480  1908  0  0  0  0  0  0  
176   2498  5319    1158  909  1402  1850  0  0  0  0  0  0  
177   2671  5241    1151  903  1375  1812  0  0  0  0  0  0  
178   2595  5164    1185  903  1340  1736  0  0  0  0  0  0  
179   2563  5110    1137  868  1348  1757  0  0  0  0  0  0  
180   2166  4839    1097  830  1248  1664  0  0  0  0  0  0  
181   2265  5039    1097  863  1332  1747  0  0  0  0  0  0  
182   2232  4845    1066  832  1290  1657  0  0  0  0  0  0  
184   2189  5027    1108  855  1318  1746  0  0  0  0  0  0  
185   2123  4508    896  807  1191  1614  0  0  0  0  0  0  
186   2157  4750    1048  833  1244  1625  0  0  0  0  0  0  
187   2076  4500    965  756  1196  1583  0  0  0  0  0  0  
188   2057  4548    1107  765  1148  1528  0  0  0  0  0  0  
189   1987  4577    1054  777  1207  1539  0  0  0  0  0  0  
190   2068  4619    1057  768  1229  1565  0  0  0  0  0  0  
191   2030  4688    1127  773  1197  1591  0  0  0  0  0  0  
192   2296  4521    968  777  1197  1579  0  0  0  0  0  0  
193   2257  4491    1062  772  1137  1520  0  0  0  0  0  0  
195   2163  4223    872  707  1141  1503  0  0  0  0  0  0  
196   2148  4255    900  722  1115  1518  0  0  0  0  0  0  
197   2078  4592    1046  801  1221  1524  0  0  0  0  0  0  
198   1930  4267    920  742  1111  1494  0  0  0  0  0  0  
199   1975  4366    906  767  1155  1538  0  0  0  0  0  0  
200   2081  4501    930  778  1186  1607  0  0  0  0  0  0  
201   1997  4584    986  815  1211  1572  0  0  0  0  0  0  
202   2040  4408    917  787  1140  1564  0  0  0  0  0  0  
203   2086  4759    1098  810  1224  1627  0  0  0  0  0  0  
204   2110  4696    1030  797  1221  1648  0  0  0  0  0  0  
206   2098  4723    1032  819  1242  1630  0  0  0  0  0  0  
207   2216  5030    1087  889  1289  1765  0  0  0  0  0  0  
208   2275  4935    1079  826  1301  1729  0  0  0  0  0  0  
209   2475  5093    1219  850  1302  1722  0  0  0  0  0  0  
210   2486  4850    1012  857  1287  1694  0  0  0  0  0  0  
211   2475  5527    1254  963  1442  1868  0  0  0  0  0  0  
212   2629  4861    1113  818  1246  1684  0  0  0  0  0  0  
213   2417  5303    1161  892  1372  1878  0  0  0  0  0  0  
214   2662  5498    1245  968  1434  1851  0  0  0  0  0  0  
215   2667  5415    1248  957  1388  1822  0  0  0  0  0  0  
217   2647  5707    1232  958  1538  1979  0  0  0  0  0  0  
218   2828  5639    1188  937  1542  1972  0  0  0  0  0  0  
219   2834  6107    1402  1060  1595  2050  0  0  0  0  0  0  
220   2899  5920    1240  1027  1550  2103  0  0  0  0  0  0  
221   2984  6114    1370  1041  1608  2095  0  0  0  0  0  0  
222   3044  6132    1366  1040  1593  2133  0  0  0  0  0  0  
223   3062  6392    1397  1097  1717  2181  0  0  0  0  0  0  
224   3147  6323    1346  1070  1690  2217  0  0  0  0  0  0  
225   2971  6408    1354  1091  1679  2284  0  0  0  0  0  0  
226   3015  6781    1503  1135  1759  2384  0  0  0  0  0  0  
228   3110  6993    1590  1183  1831  2389  0  0  0  0  0  0  
229   3221  7120    1621  1207  1876  2416  0  0  0  0  0  0  
230   3224  7370    1677  1268  1946  2479  0  0  0  0  0  0  
231   3253  7433    1637  1276  1964  2556  0  0  0  0  0  0  
232   3367  7346    1657  1259  1899  2531  0  0  0  0  0  0  
233   3363  7706    1713  1310  2039  2644  0  0  0  0  0  0  
234   3485  7945    1700  1349  2125  2771  0  0  0  0  0  0  
235   3630  8553    1988  1483  2194  2888  0  0  0  0  0  0  
236   3704  8380    1934  1414  2141  2891  0  0  0  0  0  0  
237   4072  8304    1829  1424  2212  2839  0  0  0  0  0  0  
239   3902  8550    1860  1433  2233  3024  0  0  0  0  0  0  
240   3907  8545    1882  1447  2276  2940  0  0  0  0  0  0  
241   4063  9274    2083  1605  2402  3184  0  0  0  0  0  0  
242   4041  8862    1927  1470  2350  3115  0  0  0  0  0  0  
243   4106  9079    1965  1552  2413  3149  0  0  0  0  0  0  
244   4269  9325    2122  1576  2387  3240  0  0  0  0  0  0  
245   4210  9609    2114  1617  2518  3360  0  0  0  0  0  0  
246   4345  9830    2146  1678  2595  3411  0  0  0  0  0  0  
247   4403  9546    2124  1628  2481  3313  0  0  0  0  0  0  
248   4435  10256    2374  1707  2680  3495  0  0  0  0  0  0  
250   5165  10478    2347  1786  2741  3604  0  0  0  0  0  0  
251   4620  10138    2226  1705  2702  3505  0  0  0  0  0  0  
252   4741  10689    2449  1850  2773  3617  0  0  0  0  0  0  
253   4790  10933    2546  1863  2790  3734  0  0  0  0  0  0  
254   4791  10536    2209  1838  2816  3673  0  0  0  0  0  0  
255   4976  11313    2574  1906  2935  3898  0  0  0  0  0  0  
256   4988  11500    2671  1996  3022  3811  0  0  0  0  0  0  
257   5041  11307    2563  1935  2943  3866  0  0  0  0  0  0  
258   5027  11166    2371  1914  2985  3896  0  0  0  0  0  0  
259   5117  11687    2574  1969  3106  4038  0  0  0  0  0  0  
261   5316  11803    2642  2011  3070  4080  0  0  0  0  0  0  
262   5407  12107    2719  2100  3165  4123  0  0  0  0  0  0  
263   5317  11755    2513  2020  3121  4101  0  0  0  0  0  0  
264   5530  12092    2587  2096  3208  4201  0  0  0  0  0  0  
265   5483  12064    2592  2053  3166  4253  0  0  0  0  0  0  
266   5630  12373    2608  2177  3319  4269  0  0  0  0  0  0  
267   5578  12629    2769  2176  3335  4349  0  0  0  0  0  0  
268   5643  12865    3035  2153  3330  4347  0  0  0  0  0  0  
269   5733  12448    2732  2151  3286  4279  0  0  0  0  0  0  
270   5608  12532    2696  2166  3354  4316  0  0  0  0  0  0  
272   5682  12652    2606  2197  3395  4454  0  0  0  0  0  0  
273   5843  12738    2857  2152  3349  4380  0  0  0  0  0  0  
274   6299  13024    2990  2199  3380  4455  0  0  0  0  0  0  
275   6437  13047    2743  2251  3482  4571  0  0  0  0  0  0  
276   6541  13486    3125  2237  3472  4652  0  0  0  0  0  0  
277   6603  13051    2960  2252  3356  4483  0  0  0  0  0  0  
278   6451  13024    2952  2183  3411  4478  0  0  0  0  0  0  
279   6456  13296    2957  2267  3484  4588  0  0  0  0  0  0  
280   6494  12910    2823  2207  3391  4489  0  0  0  0  0  0  
282   5942  13335    2967  2270  3448  4650  0  0  0  0  0  0  
283   5997  13334    3001  2319  3461  4553  0  0  0  0  0  0  
284   5882  13252    2933  2270  3453  4596  0  0  0  0  0  0  
285   6028  13295    2943  2316  3482  4554  0  0  0  0  0  0  
286   5960  13162    2913  2207  3464  4578  0  0  0  0  0  0  
287   5971  13247    2872  2299  3500  4576  0  0  0  0  0  0  
288   6000  13257    3046  2269  3458  4484  0  0  0  0  0  0  
289   5931  12980    2825  2229  3393  4533  0  0  0  0  0  0  
290   5902  13265    2933  2292  3462  4578  0  0  0  0  0  0  
291   5638  13038    2796  2228  3439  4575  0  0  0  0  0  0  
293   6175  13169    2977  2230  3449  4513  0  0  0  0  0  0  
294   6456  13293    2993  2247  3513  4540  0  0  0  0  0  0  
295   6571  13093    2814  2250  3464  4565  0  0  0  0  0  0  
296   6473  12777    2768  2240  3403  4366  0  0  0  0  0  0  
297   6403  13294    3118  2279  3454  4443  0  0  0  0  0  0  
298   5781  12665    2702  2182  3352  4429  0  0  0  0  0  0  
299   5805  11864    2652  2052  3106  4054  0  0  0  0  0  0  
300   5763  12845    2799  2200  3418  4428  0  0  0  0  0  0  
301   5637  12601    2818  2174  3269  4340  0  0  0  0  0  0  
302   5662  12390    2687  2126  3268  4309  0  0  0  0  0  0  
