ratio	DB	avg	lat
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.658
100%	CruiseDB	0.87	0.765
100%	CruiseDB	0.871	0.81
100%	CruiseDB	0.87	0.988
100%	CruiseDB	0.87	0.658
100%	CruiseDB	0.871	0.837
100%	CruiseDB	0.871	0.66
100%	CruiseDB	0.871	0.837
100%	CruiseDB	0.87	0.764
100%	CruiseDB	0.87	1.175
100%	CruiseDB	0.868	0.988
100%	CruiseDB	0.871	0.988
100%	CruiseDB	0.87	0.737
100%	CruiseDB	0.869	0.765
100%	CruiseDB	0.862	0.786
100%	CruiseDB	0.866	0.803
100%	CruiseDB	0.868	0.578
100%	CruiseDB	0.856	0.579
100%	CruiseDB	0.818	0.577
100%	CruiseDB	0.57	0.573
100%	CruiseDB	0.24	0.573
100%	CruiseDB	0.238	0.562
100%	CruiseDB	0.232	0.561
100%	CruiseDB	0.233	0.561
100%	CruiseDB	0.248	0.719
100%	CruiseDB	0.241	0.578
100%	CruiseDB	0.259	0.574
100%	CruiseDB	0.241	0.578
100%	CruiseDB	0.245	0.571
100%	CruiseDB	0.237	0.565
100%	CruiseDB	0.238	0.569
100%	CruiseDB	0.241	0.522
100%	CruiseDB	0.242	0.564
100%	CruiseDB	0.241	0.564
100%	CruiseDB	0.243	0.564
100%	CruiseDB	0.251	0.567
100%	CruiseDB	0.24	0.563
100%	CruiseDB	0.244	0.554
100%	CruiseDB	0.237	0.505
100%	CruiseDB	0.242	0.564
100%	CruiseDB	0.25	0.523
100%	CruiseDB	0.25	0.499
100%	CruiseDB	0.247	0.547
100%	CruiseDB	0.246	0.558
100%	CruiseDB	0.234	0.545
100%	CruiseDB	0.236	0.558
100%	CruiseDB	0.236	0.489
100%	CruiseDB	0.241	0.561
100%	CruiseDB	0.236	0.556
100%	CruiseDB	0.243	0.493
100%	CruiseDB	0.245	0.464
100%	CruiseDB	0.247	0.538
100%	CruiseDB	0.232	0.467
100%	CruiseDB	0.234	0.478
100%	CruiseDB	0.245	0.564
100%	CruiseDB	0.231	0.516
100%	CruiseDB	0.242	0.48
100%	CruiseDB	0.249	0.485
100%	CruiseDB	0.246	0.561
100%	CruiseDB	0.253	0.563
100%	CruiseDB	0.235	0.542
100%	CruiseDB	0.234	0.532
100%	CruiseDB	0.239	0.562
100%	CruiseDB	0.248	0.569
100%	CruiseDB	0.232	0.523
100%	CruiseDB	0.241	0.485
100%	CruiseDB	0.236	0.495
100%	CruiseDB	0.226	0.559
100%	CruiseDB	0.243	0.494
100%	CruiseDB	0.24	0.563
100%	CruiseDB	0.234	0.495
100%	CruiseDB	0.237	0.564
100%	CruiseDB	0.234	0.494
100%	CruiseDB	0.239	0.48
100%	CruiseDB	0.236	0.528
100%	CruiseDB	0.238	0.559
100%	CruiseDB	0.234	0.553
100%	CruiseDB	0.238	0.467
100%	CruiseDB	0.239	0.497
100%	CruiseDB	0.234	0.556
100%	CruiseDB	0.23	0.49
100%	CruiseDB	0.238	0.559
100%	CruiseDB	0.234	0.495
100%	CruiseDB	0.242	0.474
100%	CruiseDB	0.247	0.501
100%	CruiseDB	0.236	0.537
100%	CruiseDB	0.233	0.565
100%	CruiseDB	0.243	0.573
100%	CruiseDB	0.249	0.607
100%	CruiseDB	0.241	0.577
100%	CruiseDB	0.233	0.575
100%	CruiseDB	0.244	0.574
100%	CruiseDB	0.246	0.646
100%	CruiseDB	0.249	0.571
100%	CruiseDB	0.243	0.564
100%	CruiseDB	0.243	0.504
100%	CruiseDB	0.243	0.565
100%	CruiseDB	0.244	0.568
100%	CruiseDB	0.244	0.563
100%	CruiseDB	0.242	0.561
100%	CruiseDB	0.244	0.568
100%	CruiseDB	0.254	0.576
100%	CruiseDB	0.28	0.575
100%	CruiseDB	0.32	0.576
100%	CruiseDB	0.362	0.576
100%	CruiseDB	0.839	0.728
100%	CruiseDB	0.869	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.87	0.578
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.87	0.576
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.739
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.765
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.871	0.66
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.578
100%	CruiseDB	0.87	0.658
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.66
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.576
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.871	0.576
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.803
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.577
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.577
100%	CruiseDB	0.871	0.578
100%	CruiseDB	0.871	0.66
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.737
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.844
100%	CruiseDB	0.87	0.805
100%	CruiseDB	0.87	0.658
100%	CruiseDB	0.871	0.8
100%	CruiseDB	0.87	0.765
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.578
100%	CruiseDB	0.87	0.579
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.871	0.765
100%	CruiseDB	0.87	0.81
100%	CruiseDB	0.871	0.66
100%	CruiseDB	0.871	0.579
100%	CruiseDB	0.87	0.764
100%	CruiseDB	0.871	0.73
100%	CruiseDB	0.87	0.739
100%	CruiseDB	0.869	0.988
100%	CruiseDB	0.87	0.803
100%	CruiseDB	0.87	0.8
100%	CruiseDB	0.863	0.577
100%	CruiseDB	0.842	1.038
100%	CruiseDB	0.834	0.737
100%	CruiseDB	0.836	0.579
100%	CruiseDB	0.836	0.578
100%	CruiseDB	0.835	0.578
100%	CruiseDB	0.636	0.571
100%	CruiseDB	0.238	0.565
100%	CruiseDB	0.241	0.572
100%	CruiseDB	0.236	0.56
100%	CruiseDB	0.245	0.563
100%	CruiseDB	0.246	0.568
100%	CruiseDB	0.255	0.579
100%	CruiseDB	0.239	0.577
100%	CruiseDB	0.234	0.58
100%	CruiseDB	0.24	0.568
100%	CruiseDB	0.242	0.573
100%	CruiseDB	0.237	0.565
100%	CruiseDB	0.241	0.563
100%	CruiseDB	0.24	0.565
100%	CruiseDB	0.247	0.559
100%	CruiseDB	0.247	0.565
100%	CruiseDB	0.252	0.566
100%	CruiseDB	0.246	0.565
100%	CruiseDB	0.243	0.561
100%	CruiseDB	0.238	0.563
100%	CruiseDB	0.243	0.562
100%	CruiseDB	0.239	0.545
100%	CruiseDB	0.233	0.534
100%	CruiseDB	0.228	0.537
100%	CruiseDB	0.233	0.513
100%	CruiseDB	0.241	0.563
100%	CruiseDB	0.235	0.483
100%	CruiseDB	0.233	0.559
100%	CruiseDB	0.235	0.501
100%	CruiseDB	0.241	0.551
100%	CruiseDB	0.237	0.447
100%	CruiseDB	0.235	0.562
100%	CruiseDB	0.236	0.527
100%	CruiseDB	0.233	0.478
100%	CruiseDB	0.236	0.559
100%	CruiseDB	0.249	0.564
100%	CruiseDB	0.235	0.487
100%	CruiseDB	0.238	0.555
100%	CruiseDB	0.247	0.558
100%	CruiseDB	0.244	0.516
100%	CruiseDB	0.24	0.465
100%	CruiseDB	0.246	0.489
100%	CruiseDB	0.244	0.492
100%	CruiseDB	0.255	0.536
100%	CruiseDB	0.254	0.564
100%	CruiseDB	0.236	0.484
100%	CruiseDB	0.233	0.564
100%	CruiseDB	0.241	0.561
100%	CruiseDB	0.233	0.486
100%	CruiseDB	0.232	0.534
100%	CruiseDB	0.245	0.481
100%	CruiseDB	0.225	0.501
100%	CruiseDB	0.239	0.557
100%	CruiseDB	0.234	0.497
100%	CruiseDB	0.24	0.504
100%	CruiseDB	0.237	0.495
100%	CruiseDB	0.249	0.529
100%	CruiseDB	0.239	0.498
100%	CruiseDB	0.236	0.457
100%	CruiseDB	0.246	0.495
100%	CruiseDB	0.234	0.501
100%	CruiseDB	0.242	0.477
100%	CruiseDB	0.231	0.467
100%	CruiseDB	0.239	0.477
100%	CruiseDB	0.24	0.56
100%	CruiseDB	0.246	0.52
100%	CruiseDB	0.241	0.498
100%	CruiseDB	0.239	0.563
100%	CruiseDB	0.242	0.567
100%	CruiseDB	0.239	0.56
100%	CruiseDB	0.244	0.58
100%	CruiseDB	0.252	0.669
100%	CruiseDB	0.245	0.575
100%	CruiseDB	0.246	0.577
100%	CruiseDB	0.248	0.575
100%	CruiseDB	0.238	0.565
100%	CruiseDB	0.231	0.563
100%	CruiseDB	0.245	0.562
100%	CruiseDB	0.242	0.564
100%	CruiseDB	0.242	0.563
100%	CruiseDB	0.24	0.562
100%	CruiseDB	0.237	0.569
100%	CruiseDB	0.235	0.562
100%	CruiseDB	0.241	0.576
100%	CruiseDB	0.242	0.566
100%	CruiseDB	0.303	0.564
100%	CruiseDB	0.261	0.573
100%	CruiseDB	0.254	0.575
100%	CruiseDB	0.274	0.573
100%	CruiseDB	0.433	0.748
100%	CruiseDB	0.842	0.576
100%	CruiseDB	0.84	0.577
100%	CruiseDB	0.841	0.578
100%	CruiseDB	0.842	0.605
100%	CruiseDB	0.841	0.763
100%	CruiseDB	0.842	0.579
100%	CruiseDB	0.843	0.764
100%	CruiseDB	0.842	0.821
100%	CruiseDB	0.843	0.81
100%	CruiseDB	0.842	0.737
100%	CruiseDB	0.842	0.603
100%	CruiseDB	0.843	0.579
100%	Calcspar	0.376	0.376
100%	Calcspar	0.336	0.532
100%	Calcspar	0.325	0.563
100%	Calcspar	0.334	0.573
100%	Calcspar	0.311	0.563
100%	Calcspar	0.311	0.503
100%	Calcspar	0.309	0.559
100%	Calcspar	0.305	0.566
100%	Calcspar	0.296	0.568
100%	Calcspar	0.29	0.563
100%	Calcspar	0.287	0.564
100%	Calcspar	0.284	0.562
100%	Calcspar	0.28	0.555
100%	Calcspar	0.272	0.504
100%	Calcspar	0.26	0.536
100%	Calcspar	0.258	0.516
100%	Calcspar	0.252	0.558
100%	Calcspar	0.258	0.532
100%	Calcspar	0.249	0.508
100%	Calcspar	0.244	0.477
100%	Calcspar	0.241	0.557
100%	Calcspar	0.243	0.556
100%	Calcspar	0.235	0.557
100%	Calcspar	0.238	0.557
100%	Calcspar	0.238	0.554
100%	Calcspar	0.227	0.561
100%	Calcspar	0.22	0.545
100%	Calcspar	0.23	0.568
100%	Calcspar	0.219	0.565
100%	Calcspar	0.218	0.573
100%	Calcspar	0.228	0.63
100%	Calcspar	0.234	0.589
100%	Calcspar	0.209	0.576
100%	Calcspar	0.223	0.567
100%	Calcspar	0.196	0.559
100%	Calcspar	0.213	0.564
100%	Calcspar	0.213	0.562
100%	Calcspar	0.212	0.562
100%	Calcspar	0.204	0.565
100%	Calcspar	0.205	0.465
100%	Calcspar	0.212	0.563
100%	Calcspar	0.208	0.559
100%	Calcspar	0.203	0.483
100%	Calcspar	0.188	0.497
100%	Calcspar	0.202	0.544
100%	Calcspar	0.195	0.506
100%	Calcspar	0.194	0.556
100%	Calcspar	0.196	0.508
100%	Calcspar	0.198	0.492
100%	Calcspar	0.201	0.498
100%	Calcspar	0.197	0.469
100%	Calcspar	0.192	0.498
100%	Calcspar	0.197	0.466
100%	Calcspar	0.199	0.561
100%	Calcspar	0.199	0.555
100%	Calcspar	0.199	0.559
100%	Calcspar	0.195	0.558
100%	Calcspar	0.187	0.557
100%	Calcspar	0.192	0.548
100%	Calcspar	0.197	0.515
100%	Calcspar	0.203	0.56
100%	Calcspar	0.192	0.516
100%	Calcspar	0.194	0.562
100%	Calcspar	0.193	0.555
100%	Calcspar	0.189	0.553
100%	Calcspar	0.187	0.557
100%	Calcspar	0.183	0.493
100%	Calcspar	0.185	0.554
100%	Calcspar	0.189	0.524
100%	Calcspar	0.196	0.547
100%	Calcspar	0.193	0.552
100%	Calcspar	0.183	0.512
100%	Calcspar	0.186	0.557
100%	Calcspar	0.193	0.561
100%	Calcspar	0.181	0.556
100%	Calcspar	0.178	0.494
100%	Calcspar	0.194	0.553
100%	Calcspar	0.19	0.544
100%	Calcspar	0.188	0.561
100%	Calcspar	0.189	0.55
100%	Calcspar	0.181	0.473
100%	Calcspar	0.19	0.556
100%	Calcspar	0.184	0.505
100%	Calcspar	0.186	0.552
100%	Calcspar	0.186	0.552
100%	Calcspar	0.185	0.552
100%	Calcspar	0.187	0.539
100%	Calcspar	0.19	0.481
100%	Calcspar	0.185	0.516
100%	Calcspar	0.188	0.556
100%	Calcspar	0.18	0.555
100%	Calcspar	0.182	0.556
100%	Calcspar	0.188	0.558
100%	Calcspar	0.186	0.548
100%	Calcspar	0.186	0.55
100%	Calcspar	0.19	0.554
100%	Calcspar	0.194	0.555
100%	Calcspar	0.191	0.551
100%	Calcspar	0.199	0.554
100%	Calcspar	0.188	0.555
100%	Calcspar	0.194	0.557
100%	Calcspar	0.201	0.557
100%	Calcspar	0.202	0.564
100%	Calcspar	0.2	0.555
100%	Calcspar	0.204	0.558
100%	Calcspar	0.194	0.554
100%	Calcspar	0.2	0.56
100%	Calcspar	0.204	0.559
100%	Calcspar	0.198	0.557
100%	Calcspar	0.2	0.56
100%	Calcspar	0.199	0.561
100%	Calcspar	0.2	0.57
100%	Calcspar	0.2	0.579
100%	Calcspar	0.2	0.568
100%	Calcspar	0.198	0.569
100%	Calcspar	0.192	0.565
100%	Calcspar	0.187	0.561
100%	Calcspar	0.196	0.563
100%	Calcspar	0.193	0.56
100%	Calcspar	0.186	0.561
100%	Calcspar	0.192	0.574
100%	Calcspar	0.193	0.568
100%	Calcspar	0.195	0.559
100%	Calcspar	0.19	0.564
100%	Calcspar	0.188	0.562
100%	Calcspar	0.193	0.559
100%	Calcspar	0.197	0.563
100%	Calcspar	0.198	0.569
100%	Calcspar	0.195	0.568
100%	Calcspar	0.195	0.567
100%	Calcspar	0.187	0.56
100%	Calcspar	0.196	0.563
100%	Calcspar	0.19	0.559
100%	Calcspar	0.196	0.562
100%	Calcspar	0.193	0.558
100%	Calcspar	0.192	0.56
100%	Calcspar	0.2	0.559
100%	Calcspar	0.191	0.538
100%	Calcspar	0.203	0.557
100%	Calcspar	0.192	0.554
100%	Calcspar	0.186	0.553
100%	Calcspar	0.192	0.554
100%	Calcspar	0.189	0.576
100%	Calcspar	0.198	0.571
100%	Calcspar	0.184	0.569
100%	Calcspar	0.194	0.565
100%	Calcspar	0.199	0.559
100%	Calcspar	0.197	0.574
100%	Calcspar	0.197	0.567
100%	Calcspar	0.191	0.558
100%	Calcspar	0.197	0.56
100%	Calcspar	0.191	0.562
100%	Calcspar	0.199	0.564
100%	Calcspar	0.195	0.561
100%	Calcspar	0.195	0.56
100%	Calcspar	0.191	0.514
100%	Calcspar	0.18	0.552
100%	Calcspar	0.193	0.51
100%	Calcspar	0.192	0.538
100%	Calcspar	0.186	0.539
100%	Calcspar	0.186	0.465
100%	Calcspar	0.192	0.532
100%	Calcspar	0.191	0.477
100%	Calcspar	0.19	0.557
100%	Calcspar	0.194	0.547
100%	Calcspar	0.179	0.547
100%	Calcspar	0.187	0.472
100%	Calcspar	0.201	0.557
100%	Calcspar	0.199	0.511
100%	Calcspar	0.192	0.52
100%	Calcspar	0.191	0.488
100%	Calcspar	0.182	0.486
100%	Calcspar	0.183	0.533
100%	Calcspar	0.193	0.552
100%	Calcspar	0.192	0.542
100%	Calcspar	0.193	0.5
100%	Calcspar	0.196	0.479
100%	Calcspar	0.178	0.506
100%	Calcspar	0.181	0.559
100%	Calcspar	0.172	0.493
100%	Calcspar	0.181	0.555
100%	Calcspar	0.19	0.499
100%	Calcspar	0.187	0.557
100%	Calcspar	0.19	0.485
100%	Calcspar	0.189	0.562
100%	Calcspar	0.173	0.555
100%	Calcspar	0.191	0.538
100%	Calcspar	0.179	0.551
100%	Calcspar	0.185	0.483
100%	Calcspar	0.187	0.556
100%	Calcspar	0.183	0.521
100%	Calcspar	0.182	0.545
100%	Calcspar	0.182	0.542
100%	Calcspar	0.177	0.55
100%	Calcspar	0.19	0.528
100%	Calcspar	0.185	0.546
100%	Calcspar	0.178	0.455
100%	Calcspar	0.175	0.471
100%	Calcspar	0.183	0.511
100%	Calcspar	0.193	0.54
100%	Calcspar	0.186	0.485
100%	Calcspar	0.19	0.554
100%	Calcspar	0.165	0.538
100%	Calcspar	0.176	0.466
100%	Calcspar	0.18	0.555
100%	Calcspar	0.188	0.561
100%	Calcspar	0.18	0.513
100%	Calcspar	0.184	0.567
100%	Calcspar	0.19	0.565
100%	Calcspar	0.182	0.566
100%	Calcspar	0.2	0.586
100%	Calcspar	0.185	0.562
100%	Calcspar	0.189	0.569
100%	Calcspar	0.194	0.564
100%	Calcspar	0.194	0.561
100%	Calcspar	0.186	0.494
100%	Calcspar	0.177	0.534
100%	Calcspar	0.184	0.558
100%	Calcspar	0.191	0.566
100%	Calcspar	0.192	0.555
100%	Calcspar	0.193	0.56
100%	Calcspar	0.188	0.55
100%	Calcspar	0.181	0.549
100%	Calcspar	0.181	0.556
100%	Calcspar	0.19	0.561
100%	Calcspar	0.193	0.49
100%	Calcspar	0.203	0.564
100%	Calcspar	0.185	0.507
100%	Calcspar	0.179	0.552
100%	Calcspar	0.183	0.552
100%	Calcspar	0.184	0.547
100%	Calcspar	0.185	0.558
100%	Calcspar	0.186	0.559
100%	Calcspar	0.18	0.474
100%	Calcspar	0.182	0.56
100%	Calcspar	0.186	0.555
100%	Calcspar	0.183	0.559
100%	Calcspar	0.184	0.519
100%	Calcspar	0.187	0.524
100%	Calcspar	0.185	0.555
100%	Calcspar	0.184	0.523
100%	Calcspar	0.174	0.556
100%	Calcspar	0.179	0.549
100%	Calcspar	0.178	0.555
100%	Calcspar	0.185	0.56
100%	Calcspar	0.183	0.555
100%	Calcspar	0.184	0.558
100%	Calcspar	0.18	0.511
100%	Calcspar	0.18	0.495
100%	Calcspar	0.176	0.543
100%	Calcspar	0.189	0.558
100%	Calcspar	0.177	0.549
100%	Calcspar	0.177	0.551
100%	Calcspar	0.182	0.516
100%	Calcspar	0.176	0.517
100%	Calcspar	0.189	0.557
100%	Calcspar	0.179	0.488
100%	Calcspar	0.181	0.551
100%	Calcspar	0.176	0.488
100%	Calcspar	0.175	0.543
100%	Calcspar	0.181	0.498
100%	Calcspar	0.18	0.484
100%	Calcspar	0.185	0.559
100%	Calcspar	0.181	0.552
100%	Calcspar	0.184	0.541
100%	Calcspar	0.183	0.557
100%	Calcspar	0.17	0.547
100%	Calcspar	0.178	0.547
100%	Calcspar	0.174	0.492
100%	Calcspar	0.176	0.554
100%	Calcspar	0.175	0.545
100%	Calcspar	0.182	0.558
100%	Calcspar	0.174	0.549
100%	Calcspar	0.176	0.548
100%	Calcspar	0.173	0.548
100%	Calcspar	0.172	0.554
100%	Calcspar	0.176	0.552
100%	Calcspar	0.174	0.493
100%	Calcspar	0.176	0.513
100%	Calcspar	0.181	0.557
100%	Calcspar	0.18	0.559
100%	Calcspar	0.178	0.556
100%	Calcspar	0.183	0.557
100%	Calcspar	0.181	0.557
100%	Calcspar	0.183	0.56
100%	Calcspar	0.185	0.561
100%	Calcspar	0.185	0.56
100%	Calcspar	0.183	0.56
100%	Calcspar	0.179	0.553
100%	Calcspar	0.174	0.563
100%	Calcspar	0.188	0.57
100%	Calcspar	0.185	0.571
100%	Calcspar	0.177	0.565
100%	Calcspar	0.18	0.558
100%	Calcspar	0.177	0.563
100%	Calcspar	0.19	0.562
100%	Calcspar	0.18	0.559
100%	Calcspar	0.177	0.543
100%	Calcspar	0.194	0.563
100%	Calcspar	0.19	0.572
100%	Calcspar	0.182	0.565
100%	Calcspar	0.186	0.563
100%	Calcspar	0.182	0.56
100%	Calcspar	0.186	0.563
100%	Calcspar	0.181	0.562
100%	Calcspar	0.182	0.566
100%	Calcspar	0.185	0.565
100%	Calcspar	0.19	0.567
100%	Calcspar	0.192	0.561
100%	Calcspar	0.191	0.562
100%	Calcspar	0.182	0.568
100%	Calcspar	0.182	0.562
100%	Calcspar	0.181	0.561
100%	Calcspar	0.182	0.551
100%	Calcspar	0.184	0.56
100%	Calcspar	0.182	0.558
100%	Calcspar	0.176	0.552
100%	Calcspar	0.188	0.559
100%	Calcspar	0.177	0.488
100%	Calcspar	0.177	0.553
100%	Calcspar	0.181	0.573
100%	Calcspar	0.185	0.711
100%	Calcspar	0.184	0.573
100%	Calcspar	0.195	0.577
100%	Calcspar	0.181	0.559
100%	Calcspar	0.187	0.569
100%	Calcspar	0.18	0.559
100%	Calcspar	0.176	0.556
100%	Calcspar	0.176	0.557
100%	Calcspar	0.185	0.515
100%	Calcspar	0.193	0.564
100%	Calcspar	0.198	0.566
100%	Calcspar	0.191	0.564
100%	Calcspar	0.183	0.562
100%	Calcspar	0.188	0.562
100%	Calcspar	0.197	0.531
100%	Calcspar	0.184	0.558
100%	Calcspar	0.183	0.546
100%	Calcspar	0.188	0.511
100%	Calcspar	0.187	0.556
100%	Calcspar	0.19	0.559
100%	Calcspar	0.187	0.556
100%	Calcspar	0.188	0.52
100%	Calcspar	0.181	0.491
100%	Calcspar	0.181	0.55
100%	Calcspar	0.179	0.55
100%	Calcspar	0.181	0.548
100%	Calcspar	0.186	0.529
100%	Calcspar	0.175	0.545
100%	Calcspar	0.176	0.557
100%	Calcspar	0.182	0.52
100%	Calcspar	0.188	0.549
100%	Calcspar	0.191	0.506
100%	Calcspar	0.174	0.465
100%	Calcspar	0.17	0.467
100%	Calcspar	0.189	0.555
100%	Calcspar	0.188	0.473
100%	Calcspar	0.185	0.462
100%	Calcspar	0.191	0.466
100%	Calcspar	0.176	0.508
100%	Calcspar	0.183	0.557
100%	Calcspar	0.182	0.557
100%	Calcspar	0.183	0.497
100%	Calcspar	0.178	0.486
100%	Calcspar	0.183	0.512
100%	Calcspar	0.17	0.508
100%	Calcspar	0.178	0.548
100%	Calcspar	0.176	0.498
100%	Calcspar	0.182	0.517
100%	Calcspar	0.191	0.557
100%	Calcspar	0.183	0.496
100%	Calcspar	0.167	0.463
100%	Calcspar	0.182	0.478
100%	Calcspar	0.191	0.477
100%	Calcspar	0.177	0.525
100%	Calcspar	0.179	0.509
100%	Calcspar	0.181	0.477
100%	Calcspar	0.191	0.486
100%	Calcspar	0.179	0.504
100%	Calcspar	0.178	0.492
100%	Calcspar	0.164	0.497
100%	Calcspar	0.184	0.495
100%	Calcspar	0.196	0.488
100%	Calcspar	0.187	0.548
100%	Calcspar	0.177	0.559
100%	Calcspar	0.194	0.572
100%	Calcspar	0.187	0.57
100%	Calcspar	0.196	0.567
100%	Calcspar	0.178	0.568
100%	Calcspar	0.197	0.569
100%	Calcspar	0.186	0.571
100%	Calcspar	0.177	0.559
100%	Calcspar	0.175	0.478
100%	Calcspar	0.184	0.567
100%	Calcspar	0.186	0.557
100%	Calcspar	0.179	0.556
100%	Calcspar	0.179	0.544
100%	Calcspar	0.183	0.51
100%	Calcspar	0.182	0.55
100%	Calcspar	0.18	0.524
100%	Calcspar	0.181	0.478
100%	Calcspar	0.187	0.544
100%	Calcspar	0.174	0.507
100%	Calcspar	0.183	0.503
100%	Calcspar	0.18	0.505
100%	Calcspar	0.182	0.533
100%	Calcspar	0.184	0.553
100%	Calcspar	0.192	0.521
100%	Calcspar	0.182	0.522
100%	Calcspar	0.179	0.556
100%	Calcspar	0.194	0.559
100%	Calcspar	0.208	0.517
100%	Calcspar	0.187	0.522
100%	Calcspar	0.176	0.553
100%	Calcspar	0.198	0.562
100%	Calcspar	0.201	0.565
100%	Calcspar	0.185	0.514
100%	Calcspar	0.185	0.548
100%	Calcspar	0.187	0.555
100%	Calcspar	0.195	0.56
100%	Calcspar	0.183	0.558
100%	Calcspar	0.193	0.527
100%	Calcspar	0.175	0.528
100%	Calcspar	0.176	0.503
100%	Calcspar	0.198	0.555
100%	Calcspar	0.189	0.557
100%	Calcspar	0.184	0.481
100%	Calcspar	0.187	0.52
100%	Calcspar	0.183	0.555
100%	Calcspar	0.185	0.556
100%	Calcspar	0.177	0.546
100%	Calcspar	0.177	0.551
100%	Calcspar	0.187	0.495
100%	Calcspar	0.189	0.561
100%	Calcspar	0.179	0.524
100%	Calcspar	0.183	0.555
100%	Calcspar	0.182	0.554
100%	Calcspar	0.194	0.553
100%	Calcspar	0.183	0.556
100%	Calcspar	0.185	0.548
100%	Calcspar	0.189	0.551
100%	Calcspar	0.177	0.544
100%	Calcspar	0.186	0.551
100%	Calcspar	0.185	0.553
100%	Calcspar	0.176	0.541
100%	Calcspar	0.185	0.523
100%	Calcspar	0.181	0.532
100%	Calcspar	0.182	0.533
100%	Calcspar	0.191	0.557
100%	Calcspar	0.183	0.554
100%	Calcspar	0.182	0.516
100%	Calcspar	0.193	0.556
100%	Calcspar	0.186	0.559
100%	Calcspar	0.186	0.553
100%	Calcspar	0.191	0.477
100%	Calcspar	0.184	0.554
100%	Calcspar	0.179	0.549
100%	Calcspar	0.183	0.555
100%	Calcspar	0.183	0.556
100%	Calcspar	0.185	0.527
100%	Calcspar	0.185	0.557
100%	Calcspar	0.192	0.559
100%	Calcspar	0.186	0.56
100%	Calcspar	0.183	0.557
100%	Calcspar	0.187	0.559
100%	Calcspar	0.185	0.555
100%	Calcspar	0.187	0.558
100%	Calcspar	0.194	0.561
100%	Calcspar	0.229	0.578
100%	Calcspar	0.187	0.563
100%	Calcspar	0.181	0.564
100%	Calcspar	0.177	0.564
100%	Calcspar	0.19	0.56
100%	Calcspar	0.184	0.495
100%	Calcspar	0.191	0.559
100%	Calcspar	0.189	0.56
100%	Calcspar	0.182	0.564
100%	Calcspar	0.194	0.574
100%	Calcspar	0.193	0.566
100%	Calcspar	0.185	0.558
100%	Calcspar	0.187	0.56
100%	Calcspar	0.19	0.562
100%	Calcspar	0.186	0.56
100%	Calcspar	0.19	0.566
100%	Calcspar	0.191	0.574
100%	Calcspar	0.182	0.567
100%	Calcspar	0.19	0.563
100%	Calcspar	0.186	0.563
100%	Calcspar	0.183	0.556
100%	Calcspar	0.183	0.564
100%	Calcspar	0.181	0.558
100%	Calcspar	0.178	0.56
100%	Calcspar	0.186	0.561
100%	Calcspar	0.181	0.547
100%	Calcspar	0.183	0.553
100%	Calcspar	0.181	0.5
100%	Calcspar	0.185	0.555
100%	Calcspar	0.189	0.549
100%	Calcspar	0.183	0.564
100%	Calcspar	0.187	0.67
100%	Calcspar	0.18	0.568
100%	Calcspar	0.189	0.576
100%	Calcspar	0.181	0.562
100%	Calcspar	0.188	0.562
100%	Calcspar	0.182	0.566
